access,aerialway,aeroway,amenity,area,barrier,bicycle,boundary,brand,bridge,building,covered,culvert,cutting,disused,embankment,foot,harbour,highway,historic,horse,junction,landuse,latitud,layer,leisure,lock,longitud,man_made,military,motorcar,name,natural,oneway,operator,osm_id,place,population,power,railway,ref,religion,route,service,shop,sport,surface,tags,toll,tourism,tower:type,tracktype,tunnel,water,waterway,way_area,wetland,width,wood,x,y,z_order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2798452.3968413547,828442.2542334031,
,,,,,,,,,,,,,,,,,,residential,,,,,19.4273962,,,,-99.1507951,,,,Tolsá,,yes,,124514599.0,,,,,,,,,,,,,,,,,,,,,,,,2798332.7141943523,828446.5548813518,33.0
,,,,,,,,,,,,,,,,,,residential,,,,,19.4273966,,,,-99.1513881,,,,Tolsá,,yes,,124514599.0,,,,,,,,,,,,,,,,,,,,,,,,2798270.630021037,828445.3656278886,33.0
,,,,,,,,,,,,,,,,,,residential,,,,,19.4274626,,,,-99.1524019,,,,Tolsá,,yes,,124514599.0,,,,,,,,,,,,,,,,,,,,,,,,2798164.3470231984,828450.540887421,33.0
,,,,,,,,,,,,,,,,,,residential,,,,,19.4275069,,,,-99.1530216,,,,Tolsá,,yes,,124514599.0,,,,,,,,,,,,,,,,,,,,,,,,2798099.371369544,828454.1413259563,33.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4270931,,,,-99.1531907,,,,Bucareli,,yes,,24858164.0,,,,,1P,,,,,,asphalt,,,,,,,,,,,,,2798082.5742220683,828408.1258182997,37.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4267539,,,,-99.1533301,,,,Bucareli,,yes,,24858164.0,,,,,1P,,,,,,asphalt,,,,,,,,,,,,,2798068.7229624195,828370.4043673659,37.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4265003,,,,-99.1534386,,,,Bucareli,,yes,,24858164.0,,,,,1P,,,,,,asphalt,,,,,,,,,,,,,2798057.919174969,828342.1933516234,37.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4261407,,,,-99.1535923,,,,Bucareli,,yes,,24858164.0,,,,,1P,,,,,,asphalt,,,,,,,,,,,,,2798042.615339506,828302.1909786075,37.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4260203,,,,-99.1536476,,,,Bucareli,,yes,,24858164.0,,,,,1P,,,,,,asphalt,,,,,,,,,,,,,2798037.089451951,828288.7895483245,37.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4259665,,,,-99.1536723,,,,Bucareli,,yes,,24858164.0,,,,,1P,,,,,,asphalt,,,,,,,,,,,,,2798034.621335387,828282.8012233981,37.0
,,,,,,,,,,,,,,,,,,primary,,,,,19.4258509,,,,-99.1541627,,,,Avenida Chapultepec,,yes,,24689815.0,,,,,1S,,,,,,,,,,,,,,,,,,,2797983.5322048236,828269.0254097689,37.0
