access,aerialway,aeroway,amenity,area,barrier,bicycle,boundary,brand,bridge,building,covered,culvert,cutting,disused,embankment,foot,harbour,highway,historic,horse,index,junction,landuse,latitud,layer,leisure,lock,longitud,man_made,military,motorcar,name,natural,oneway,operator,osm_id,place,population,power,railway,ref,religion,route,service,shop,sport,surface,tags,toll,tourism,tower:type,tracktype,tunnel,water,waterway,way_area,wetland,width,wood,x,y,z_order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784975.1642784663,820869.3244937939,
,,,,,,,,,,,,,,,,,,secondary,,,2.0,,,19.361336,,,,-99.2789946,,,,Vasco de Quiroga,,yes,,391847337.0,,,,,,,,,,,,"""alt_name""=>""Av. Vasco de Quiroga"", ""sidewalk""=>""right"", ""official_name""=>""Avenida Vasco de Quiroga""",,,,,,,,,,,,2785049.263271452,820895.5494489159,36.0
,,,,,,,,,,,,,,,,,,secondary,,,0.0,,,19.361336,,,,-99.2789946,,,,Vasco de Quiroga,,yes,,25026504.0,,,,,,,,,,,,"""alt_name""=>""Av. Vasco de Quiroga"", ""sidewalk""=>""right"", ""official_name""=>""Avenida Vasco de Quiroga""",,,,,,,,,,,,2785049.263271452,820895.5494489159,36.0
,,,,,,,,,,,,,,,,,,secondary,,,1.0,,,19.3616342,,,,-99.2780054,,,,Vasco de Quiroga,,yes,,25026504.0,,,,,,,,,,,,"""alt_name""=>""Av. Vasco de Quiroga"", ""sidewalk""=>""right"", ""official_name""=>""Avenida Vasco de Quiroga""",,,,,,,,,,,,2785152.2535501313,820930.426108793,36.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,0.0,,,19.3616342,,,,-99.2780054,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785152.2535501313,820930.426108793,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,1.0,,,19.3615121,,,,-99.2780584,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785146.957789889,820916.8454118172,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,2.0,,,19.3613259,,,,-99.2780412,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785149.1494799694,820896.3300162547,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,3.0,,,19.3610991,,,,-99.2781013,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785143.329328966,820871.180188644,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,4.0,,,19.3609372,,,,-99.2782129,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785131.9787623277,820853.0905325916,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,5.0,,,19.3607752,,,,-99.2783674,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785116.134745781,820834.9045602017,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,6.0,,,19.3605809,,,,-99.2784274,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785110.2569146845,820813.3417299704,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,7.0,,,19.360346,,,,-99.2783845,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785115.2425667765,820787.5027126921,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,8.0,,,19.3601193,,,,-99.2782214,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785132.8016671096,820762.8076328669,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,9.0,,,19.3598764,,,,-99.2779983,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785156.6796006775,820736.4439780087,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,10.0,,,19.359512,,,,-99.2776378,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785195.2044870146,820696.9444382223,34.0
yes,,,,,,,,,,,,,,,,yes,,tertiary,,,11.0,,,19.3593014,,,,-99.2772859,,,,Mario Pani,,no,,42640038.0,,,,,,,,,,,asphalt,,,,,,,,,,,,,2785232.5064670322,820674.4017487178,34.0
